name,a,b,lat,lon,c
Acton Town,N,0,51.50274977,-0.280251204,0
Aldgate,N,0,51.51427182,-0.075614184,0
Aldgate East,N,0,51.51523341,-0.07228712,0
All Saints,N,0,51.51101008,-0.01275175,0
Alperton,N,0,51.54069477,-0.299486539,0
Angel,N,0,51.53249887,-0.105789914,0
Archway,N,0,51.56542675,-0.135113518,0
Arnos Grove,N,0,51.61634026,-0.13351631,0
Arsenal,N,0,51.55849877,-0.105761988,0
Baker Street,N,0,51.52306125,-0.156900356,0
Bank,N,0,51.51330237,-0.088915809,0
Barkingside,N,0,51.58578596,0.088511014,0
Barons Court,N,0,51.49015994,-0.213606857,0
Bayswater,N,0,51.51223306,-0.188038262,0
Beckton,N,0,51.51513328,0.060942442,0
Beckton Park,N,0,51.50894379,0.054897747,0
Becontree,N,0,51.54028854,0.127400321,0
Belsize Park,N,0,51.55042663,-0.164232306,0
Bermondsey,N,0,51.49794912,-0.063651351,0
Bethnal Green,N,0,51.52719524,-0.055431117,0
Blackfriars,N,0,51.51149052,-0.103606731,0
Blackwall,N,0,51.50821611,-0.007108497,0
Bond Street,N,0,51.51380454,-0.149332355,0
Borough,N,0,51.501194,-0.093702665,0
Boston Manor,N,0,51.49569638,-0.324763574,0
Bounds Green,N,0,51.60709056,-0.124218963,0
Bow Church,N,0,51.52733311,-0.020691424,0
Bow Road,N,0,51.52680025,-0.024823747,0
Brent Cross,N,0,51.57680047,-0.213455834,0
Bromley-By-Bow,N,0,51.52476994,-0.011661937,0
Buckhurst Hill,N,0,51.62651733,0.046743856,0
Burnt Oak,N,0,51.6026811,-0.264198758,0
Caledonian Road,N,0,51.54842132,-0.118312333,0
Camden Town,N,0,51.53940352,-0.142726149,0
Canary Wharf,N,0,51.50355049,-0.019431816,0
Cannon Street,N,0,51.51143372,-0.090694851,0
Canons Park,N,0,51.60775952,-0.294653741,0
Chalk Farm,N,0,51.5440831,-0.153728009,0
Chancery Lane,N,0,51.51812323,-0.111677427,0
Charing Cross,N,0,51.50859321,-0.124754687,0
Chesham,N,0,51.70503045,-0.611219246,0
Chigwell,N,0,51.61787193,0.074526611,0
Chiswick Park,N,0,51.49430059,-0.267746874,0
Chorleywood,N,0,51.65421786,-0.51836599,0
Clapham Common,N,0,51.46172793,-0.138311459,0
Clapham North,N,0,51.46484373,-0.129531054,0
Clapham South,N,0,51.45259983,-0.147982099,0
Cockfosters,N,0,51.65168753,-0.149614715,0
Colindale,N,0,51.59528652,-0.250142588,0
Colliers Wood,N,0,51.41807189,-0.177700937,0
Covent Garden,N,0,51.51290959,-0.124159261,0
Crossharbour & London Arena,N,0,51.49569837,-0.014614326,0
Croxley,N,0,51.64704634,-0.441710993,0
Cutty Sark,N,0,51.48169437,-0.010858773,0
Cyprus,N,0,51.50879193,0.06353852,0
Dagenham East,N,0,51.54411673,0.16587487,0
Dagenham Heathway,N,0,51.54162741,0.147684195,0
Debden,N,0,51.64543432,0.08383781,0
Deptford Bridge,N,0,51.47428472,-0.021550621,0
Devons Road,N,0,51.52217508,-0.017224616,0
Dollis Hill,N,0,51.55190356,-0.238797559,0
Ealing Common,N,0,51.51012474,-0.288260381,0
Earl's Court,N,0,51.49180391,-0.193545854,0
East Acton,N,0,51.5165822,-0.247513204,0
East Finchley,N,0,51.58727172,-0.164738306,0
East Ham,N,0,51.53892604,0.051475549,0
East India,N,0,51.50904125,-0.002748664,0
Eastcote,N,0,51.57649304,-0.396844627,0
Edgware,N,0,51.61362308,-0.274976006,0
Edgware Road Bakerloo,N,0,51.52018389,-0.170135073,0
Edgware Road Circle,N,0,51.51992047,-0.167666131,0
Elephant & Castle,N,0,51.49577705,-0.100729604,0
Elm Park,N,0,51.54980125,0.199180459,0
Elverson Road,N,0,51.46881943,-0.017467307,0
Embankment,N,0,51.5072418,-0.122360216,0
Epping,N,0,51.69362461,0.113866916,0
Euston,N,0,51.52859626,-0.133289719,0
Euston Square,N,0,51.52556101,-0.135836141,0
Fairlop,N,0,51.59568093,0.090929226,0
Farringdon,N,0,51.52044475,-0.105065254,0
Finchley Central,N,0,51.60097642,-0.192447107,0
Finchley Road,N,0,51.54706483,-0.180494176,0
Fulham Broadway,N,0,51.48052978,-0.194956845,0
Gallions Reach,N,0,51.50953809,0.072220033,0
Gants Hill,N,0,51.57648755,0.066115534,0
Gloucester Road,N,0,51.49423978,-0.182989526,0
Golders Green,N,0,51.57222139,-0.193993261,0
Goldhawk Road,N,0,51.5019522,-0.226748329,0
Goodge Street,N,0,51.520425,-0.134662152,0
Grange Hill,N,0,51.61334986,0.092146407,0
Great Portland Street,N,0,51.52372031,-0.143956086,0
Green Park,N,0,51.50685011,-0.142927422,0
Hainault,N,0,51.60372722,0.093119014,0
Hammersmith,N,0,51.49349777,-0.224930071,0
Hammersmith (D & P),N,0,51.49256908,-0.222401731,0
Hampstead,N,0,51.55668848,-0.178219763,0
Hanger Lane,N,0,51.5300064,-0.293007523,0
Hatton Cross,N,0,51.46661417,-0.423409349,0
Heathrow Terminals 123,N,0,51.47121921,-0.452439131,0
Hendon Central,N,0,51.58329383,-0.226496208,0
Heron Quays,N,0,51.50306792,-0.021744065,0
High Barnet,N,0,51.65060117,-0.194751022,0
High Street Kensington,N,0,51.50067342,-0.192503136,0
Highgate,N,0,51.57759783,-0.146638423,0
Hillingdon,N,0,51.55371684,-0.449926296,0
Holborn,N,0,51.51743878,-0.120008849,0
Holland Park,N,0,51.50733404,-0.205728673,0
Holloway Road,N,0,51.55275054,-0.112925633,0
Hornchurch,N,0,51.55400526,0.219018987,0
Hounslow Central,N,0,51.4710833,-0.36692242,0
Hounslow East,N,0,51.47317062,-0.356695318,0
Hounslow West,N,0,51.4730348,-0.385731868,0
Hyde Park Corner,N,0,51.50276041,-0.152748812,0
Ickenham,N,0,51.56198474,-0.442026556,0
Island Gardens,N,0,51.48667164,-0.00948951,0
Kennington,N,0,51.48811953,-0.105485153,0
Kensal Green,N,0,51.53045767,-0.224716965,0
Kentish Town,N,0,51.55030376,-0.140464193,0
Kilburn,N,0,51.5468795,-0.204633341,0
Kilburn Park,N,0,51.53506908,-0.193965947,0
King's Cross St. Pancras,N,0,51.53039724,-0.123857948,0
Kingsbury,N,0,51.58475687,-0.278799057,0
Knightsbridge,N,0,51.50155143,-0.160507091,0
Ladbroke Grove,N,0,51.51718845,-0.210861918,0
Lambeth North,N,0,51.49905815,-0.11176027,0
Lancaster Gate,N,0,51.51182153,-0.175428659,0
Latimer Road,N,0,51.51354359,-0.217779302,0
Leicester Square,N,0,51.51122103,-0.128235532,0
Leyton,N,0,51.55643293,-0.00561988,0
Leytonstone,N,0,51.56818526,0.008215047,0
Liverpool Street UG,N,0,51.51735123,-0.082965709,0
London Bridge UG,N,0,51.50549935,-0.086922404,0
Loughton,N,0,51.64151276,0.055311997,0
Maida Vale,N,0,51.52976002,-0.185625902,0
Manor House,N,0,51.57075601,-0.095712467,0
Mansion House,N,0,51.5120212,-0.094187135,0
Marble Arch,N,0,51.51354329,-0.158438047,0
Marylebone,N,0,51.52222334,-0.163104487,0
Mile End,N,0,51.52509187,-0.03340417,0
Mill Hill East,N,0,51.6082589,-0.20989442,0
Monument,N,0,51.51334782,-0.088942733,0
Moor Park,N,0,51.62973109,-0.432666849,0
Morden,N,0,51.40233694,-0.194790701,0
Mornington Crescent,N,0,51.53420661,-0.13884253,0
Mudchute,N,0,51.49036418,-0.015091215,0
Neasden,N,0,51.55396572,-0.249782873,0
Newbury Park,N,0,51.57557249,0.090337314,0
North Acton,N,0,51.52336556,-0.259737386,0
North Ealing,N,0,51.51755516,-0.28900498,0
North Greenwich,N,0,51.50018182,0.003607417,0
North Harrow,N,0,51.58479185,-0.362223573,0
Northfields,N,0,51.49927648,-0.314156833,0
Northolt,N,0,51.54815044,-0.368459834,0
Northwick Park,N,0,51.57859284,-0.318206357,0
Northwood,N,0,51.61115923,-0.423860794,0
Northwood Hills,N,0,51.60049458,-0.409298631,0
Notting Hill Gate,N,0,51.50906353,-0.196537685,0
Oakwood,N,0,51.64758365,-0.131841721,0
Osterley,N,0,51.4809288,-0.351994405,0
Oval,N,0,51.48210545,-0.112893409,0
Oxford Circus,N,0,51.5151238,-0.141768984,0
Paddington,N,0,51.51531042,-0.175390006,0
Park Royal,N,0,51.52690138,-0.284228016,0
Parsons Green,N,0,51.47509533,-0.201234657,0
Perivale,N,0,51.53659409,-0.323852038,0
Piccadilly Circus,N,0,51.510027,-0.134006366,0
Pimlico,N,0,51.48919376,-0.133748665,0
Pinner,N,0,51.59285763,-0.380919804,0
Plaistow,N,0,51.53121839,0.017804699,0
Poplar,N,0,51.50748844,-0.017228774,0
Preston Road,N,0,51.57203799,-0.2952563,0
Prince Regent,N,0,51.50932067,0.033295485,0
Pudding Mill Lane,N,0,51.53440084,-0.013174228,0
Queensbury,N,0,51.59434715,-0.285785682,0
Queensway,N,0,51.51038005,-0.187434461,0
Ravenscourt Park,N,0,51.49413653,-0.236258354,0
Rayners Lane,N,0,51.5749767,-0.371005564,0
Redbridge,N,0,51.57630179,0.045423116,0
Regent's Park,N,0,51.5235055,-0.146862635,0
Roding Valley,N,0,51.61711524,0.043864415,0
Rotherhithe,N,0,51.50100569,-0.052180998,0
Royal Albert,N,0,51.50819634,0.046216594,0
Royal Oak,N,0,51.51901712,-0.188230043,0
Royal Victoria,N,0,51.50906211,0.018078557,0
Ruislip,N,0,51.57144911,-0.421455074,0
Ruislip Gardens,N,0,51.5605885,-0.411039285,0
Ruislip Manor,N,0,51.57318768,-0.412345792,0
Russell Square,N,0,51.52291285,-0.124310056,0
Shepherd's Bush Central,N,0,51.50556087,-0.226305459,0
Shepherd's Bush Hammersmith & City,N,0,51.50556087,-0.226305459,0
Sloane Square,N,0,51.49228782,-0.156486232,0
Snaresbrook,N,0,51.58082702,0.021490462,0
South Ealing,N,0,51.50136794,-0.307018839,0
South Harrow,N,0,51.56467757,-0.352211571,0
South Kensington,N,0,51.49399987,-0.173922311,0
South Kenton,N,0,51.57017169,-0.308588675,0
South Quay,N,0,51.50053201,-0.019101694,0
South Wimbledon,N,0,51.41528037,-0.191979094,0
South Woodford,N,0,51.59172565,0.027317134,0
Southgate,N,0,51.63231971,-0.127758393,0
Southwark,N,0,51.50384301,-0.105091836,0
St. James's Park,N,0,51.49934546,-0.134183744,0
St. John's Wood,N,0,51.53456452,-0.174172356,0
St. Paul's,N,0,51.5148013,-0.097573654,0
Stamford Brook,N,0,51.49479623,-0.245453795,0
Stanmore,N,0,51.61961834,-0.303108171,0
Stepney Green,N,0,51.52191063,-0.046458666,0
Stockwell,N,0,51.47216654,-0.122909312,0
Stonebridge Park,N,0,51.54392229,-0.275409248,0
Sudbury Hill,N,0,51.55699619,-0.336215632,0
Sudbury Town,N,0,51.55078246,-0.315482697,0
Swiss Cottage,N,0,51.54331532,-0.174759253,0
Temple,N,0,51.51096998,-0.11370309,0
Theydon Bois,N,0,51.67171132,0.103125377,0
Tooting Bec,N,0,51.43575963,-0.15970054,0
Tooting Broadway,N,0,51.42743539,-0.167976763,0
Tottenham Court Road,N,0,51.51620955,-0.130870518,0
Totteridge & Whetstone,N,0,51.6302077,-0.179261213,0
Tower Gateway,N,0,51.51056664,-0.074530961,0
Tower Hill,N,0,51.51006595,-0.076353695,0
Tufnell Park,N,0,51.55666682,-0.137924881,0
Turnham Green,N,0,51.49511173,-0.254532983,0
Turnpike Lane,N,0,51.59029677,-0.102792275,0
Upminster Bridge,N,0,51.55875051,0.23577122,0
Upney,N,0,51.53833531,0.101565626,0
Upton Park,N,0,51.5352333,0.03527318,0
Uxbridge,N,0,51.54649637,-0.478139472,0
